Date,Open,High,Low,Close,Adj Close,Volume
2020-12-06,1.000000,1.000400,0.999900,1.000000,1.000000,479199167
2020-12-07,1.000000,1.000300,0.999800,1.000100,1.000100,415371122
2020-12-08,1.000100,1.000300,0.999500,1.000000,1.000000,630991787
2020-12-09,1.000000,1.000400,0.999700,1.000100,1.000100,835526729
2020-12-10,1.000100,1.000300,0.999700,1.000000,1.000000,598670630
2020-12-11,1.000000,1.000400,0.999900,1.000200,1.000200,733773377
2020-12-12,1.000200,1.000400,0.999800,1.000200,1.000200,475059076
2020-12-13,1.000200,1.000300,0.999600,0.999900,0.999900,569109738
2020-12-14,0.999900,1.000300,0.999700,1.000300,1.000300,485421068
2020-12-15,1.000300,1.000400,0.999800,1.000200,1.000200,577463424
2020-12-16,1.000200,1.000500,0.999800,0.999900,0.999900,1149563901
2020-12-17,0.999900,1.000400,0.998900,0.999900,0.999900,1997846833
2020-12-18,0.999900,1.000500,0.999700,1.000100,1.000100,997790914
2020-12-19,1.000100,1.000400,0.999900,0.999900,0.999900,950542314
2020-12-20,0.999900,1.000200,0.999700,1.000100,1.000100,869845584
2020-12-21,1.000100,1.000600,0.999000,0.999700,0.999700,997053516
2020-12-22,0.999700,1.000400,0.999700,1.000000,1.000000,1017870060
2020-12-23,1.000300,1.000700,0.999500,1.000000,1.000000,1237517824
2020-12-24,1.000000,1.000300,0.999600,0.999600,0.999600,958843703
2020-12-25,0.999600,1.000400,0.999600,0.999900,0.999900,908532760
2020-12-26,0.999900,1.000200,0.999000,0.999600,0.999600,977229530
2020-12-27,0.999600,1.001000,0.998600,1.001000,1.001000,1531006691
2020-12-28,1.001000,1.001000,0.999500,0.999800,0.999800,1212615515
2020-12-29,0.999900,1.000600,0.999800,1.000200,1.000200,1250162750
2020-12-30,1.000200,1.000500,1.000000,1.000200,1.000200,1387769824
2020-12-31,1.000200,1.000500,0.999900,1.000500,1.000500,1232196643
2021-01-01,1.000400,1.000800,1.000100,1.000100,1.000100,1019539386
2021-01-02,1.000100,1.000400,0.999700,0.999800,0.999800,2058671355
2021-01-03,0.999800,1.000200,0.999800,0.999900,0.999900,2762332407
2021-01-04,0.999800,1.000500,0.998500,0.999800,0.999800,3360230127
2021-01-05,0.999800,1.000500,0.999700,1.000100,1.000100,2449868577
2021-01-06,1.000100,1.000600,0.999000,1.000200,1.000200,2793478887
2021-01-07,1.000200,1.000500,0.999800,0.999900,0.999900,2983223843
2021-01-08,1.000100,1.000400,0.999600,1.000100,1.000100,3240762953
2021-01-09,1.000100,1.000400,0.999800,1.000300,1.000300,1969411177
2021-01-10,1.000300,1.001100,0.996200,0.999900,0.999900,2741621462
2021-01-11,1.000000,1.005000,0.998400,1.000500,1.000500,5115652923
2021-01-12,1.000500,1.003200,0.999600,0.999900,0.999900,2617379132
2021-01-13,0.999900,1.000500,0.999500,1.000300,1.000300,2450365705
2021-01-14,1.000300,1.000400,0.999700,0.999900,0.999900,2397096841
2021-01-15,0.999900,1.001100,0.999200,1.000200,1.000200,2849841205
2021-01-16,1.000200,1.000400,0.999800,1.000100,1.000100,2295413766
2021-01-17,1.000100,1.000300,0.999600,0.999800,0.999800,1881385651
2021-01-18,0.999800,1.000200,0.999800,0.999900,0.999900,1607002623
2021-01-19,0.999900,1.000300,0.999600,1.000100,1.000100,2471681183
2021-01-20,1.000200,1.000400,0.999700,0.999900,0.999900,2733237908
2021-01-21,0.999900,1.000200,0.999600,0.999800,0.999800,2979889727
2021-01-22,1.000000,1.000400,0.999600,1.000200,1.000200,2866134882
2021-01-23,1.000200,1.000200,0.999700,0.999900,0.999900,1456772054
2021-01-24,0.999900,1.000200,0.999700,1.000000,1.000000,1516612419
2021-01-25,1.000000,1.000200,0.999600,1.000100,1.000100,2291877659
2021-01-26,1.000000,1.000500,0.999800,1.000100,1.000100,2619860103
2021-01-27,1.000100,1.001000,0.999500,1.000100,1.000100,2645917050
2021-01-28,1.000100,1.000700,0.999500,1.000300,1.000300,2565966161
2021-01-29,1.000000,1.000500,0.998700,0.999800,0.999800,5470308030
2021-01-30,0.999800,1.000200,0.999700,0.999800,0.999800,2381632456
2021-01-31,0.999800,1.000200,0.999800,1.000100,1.000100,1905153091
2021-02-01,1.000100,1.000200,0.999800,1.000100,1.000100,2259177222
2021-02-02,1.000100,1.000200,0.999700,0.999900,0.999900,2425490542
2021-02-03,0.999900,1.000500,0.999700,0.999900,0.999900,2330917485
2021-02-04,0.999900,1.000400,0.999500,1.000000,1.000000,3172820808
2021-02-05,0.999800,1.000300,0.999500,1.000000,1.000000,2643032233
2021-02-06,0.999600,1.000500,0.999500,0.999800,0.999800,2865702755
2021-02-07,0.999800,1.000400,0.999400,0.999900,0.999900,3035144064
2021-02-08,0.999900,1.004900,0.999300,0.999900,0.999900,4161970115
2021-02-09,1.000100,1.000800,0.999200,1.000300,1.000300,4595501383
2021-02-10,1.000000,1.001200,0.999600,0.999800,0.999800,4767696005
2021-02-11,1.000000,1.001400,0.999700,1.000200,1.000200,3435272625
2021-02-12,0.999900,1.000600,0.999700,0.999900,0.999900,3551072361
2021-02-13,1.000200,1.000300,0.999700,1.000200,1.000200,3124376456
2021-02-14,1.000200,1.000300,0.999500,1.000200,1.000200,2726978711
2021-02-15,1.000000,1.000500,0.999700,0.999900,0.999900,3587654765
2021-02-16,1.000100,1.000300,0.999600,0.999700,0.999700,3226021762
2021-02-17,0.999700,1.000500,0.999600,1.000100,1.000100,4139319884
2021-02-18,1.000000,1.000500,0.999700,1.000100,1.000100,4568608480
