Date,Bitcoin,Crypto,Cryptocurrency,ETH,Crytpo Regulations,Crypto Ban,Crypto Bubble,Bull,Bear,Hack,Crypto Market,Stocks,Time to buy,should I sell,how to buy,exchange,wallet,mining,blockchain,Bitcoin_delta,Crypto_delta,Cryptocurrency_delta,ETH_delta,Crytpo Regulations_delta,Crypto Ban_delta,Crypto Bubble_delta,Bull_delta,Bear_delta,Hack_delta,Crypto Market_delta,Stocks_delta,Time to buy_delta,should I sell_delta,how to buy_delta,exchange_delta,wallet_delta,mining_delta,blockchain_delta,Open,High,Low,Close,Volume,PriceDelta,VolumeDelta,EMA3,EMA7,EMA14,EMA20,EMA50,Volume_USDT,VolumeDelta_USDT,Volatility_USDT,Yesterday_Price,3day_Past_Mean_Price,7day_Past_Mean_Price,Yesterday_Volume,3day_Past_Mean_Volume,7day_Past_Mean_Volume,Yesterday_Vol_USDT,3day_Past_Mean_Vol_USDT,7day_Past_Mean_Vol_USDT,RSI,RSI_BuySellFlag,EMA_BuySellFlag
7/3/2020,63,15,4,3,0,0,0,55,96,42,0,26,8,0,99,64,26,19,7,-23,1,-4,-9,0,-3,0,-12,8,6,0,-4,-2,-4,22,-2,-4,2,2,9124.842773,9202.344727,9058.794922,9087.303711,13078970999,-36.106445,-3259945797,9122.237449,9163.048013,9235.494201,9279.277301,9204.049107,17207532375,-4506291841,0.020391,9123.410156,9146.346354,9136.694196,16338916796,15129812717,15631392411,21713824216,19777419505,19792155131,43.06721167,0,0
7/4/2020,74,10,6,3,0,0,0,78,89,49,1,17,7,0,87,57,26,12,6,11,-5,2,0,0,0,0,23,-7,7,1,-9,-1,0,-12,-7,0,-7,-1,9084.233398,9183.295898,9053.629883,9132.488281,12290528515,45.18457,-788442484,9127.362865,9155.40808,9221.760078,9265.297394,9201.2428,16834529314,-373003061,0.014134,9087.303711,9114.400716,9149.136719,13078970999,13902805437,14919597464,17207532375,18585295302,19044232247,44.69489748,0,0
7/5/2020,66,15,2,5,0,2,0,76,93,48,0,18,17,0,88,52,21,17,4,-8,5,-4,2,0,2,0,-2,4,-1,-1,1,10,0,1,-5,-5,5,-2,9126.09082,9162.183594,8977.015625,9073.942383,12903406143,-58.545898,612877628,9100.652624,9135.041656,9202.051052,9247.073107,9196.250627,18453609716,1619080402,0.008796,9132.488281,9097.911458,9139.188197,12290528515,12757635219,14682816804,16834529314,17498557135,19106825273,42.98027575,0,0
7/6/2020,77,15,11,0,0,0,0,78,89,39,0,28,14,0,97,58,30,13,5,11,0,9,-5,0,-2,0,2,-4,-9,0,10,-3,0,9,6,9,-4,1,9072.849609,9375.474609,9058.664063,9375.474609,17889263252,301.532226,4985857109,9238.063616,9195.149894,9225.174193,9259.301822,9203.279019,28513816011,10060206295,0.013126,9073.942383,9193.968424,9165.5625,12903406143,14361065970,14886919115,18453609716,21267318347,20294318954,52.98430939,0,1
7/7/2020,83,15,10,5,0,0,4,63,89,35,0,34,8,0,74,59,28,15,9,6,0,-1,5,0,0,4,-15,0,-4,0,6,-6,0,-23,1,-2,2,4,9349.161133,9360.617188,9201.81543,9252.277344,13839652595,-123.197265,-4049610657,9245.17048,9209.431756,9228.787947,9258.632824,9205.200521,20262759503,-8251056508,0.01316,9375.474609,9233.898112,9181.888811,17889263252,14877440663,14616041236,28513816011,22410061743,20485281866,49.18719157,0,-1
7/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-15,-10,-5,0,0,-4,-63,-89,-35,0,-34,-8,0,-74,-59,-28,-15,-9,9253.020508,9450.335938,9249.5,9428.333008,19702359883,176.055664,5862707288,9336.751744,9264.157069,9255.393955,9274.794746,9213.950815,28520237097,8257477594,0.007715,9252.277344,9352.02832,9210.461356,13839652595,17143758577,15149014026,20262759503,25765604204,21643758319,54.23469659,0,1
7/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9427.994141,9431.378906,9234.999023,9277.967773,18000702524,-150.365235,-1701657359,9307.359759,9267.609745,9258.403797,9275.096939,9216.461284,24559681375,-3960555722,0.009206,9428.333008,9319.526042,9232.541016,19702359883,17180905001,15386411987,28520237097,24447559325,22050309342,49.69431467,0,0
7/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9273.357422,9287.47168,9118.001953,9278.807617,16860035605,0.839844,-1140666919,9293.083688,9270.409213,9261.124306,9275.450337,9218.906238,19416307998,-5143373377,0.011739,9277.967773,9328.369466,9259.898716,18000702524,18187699337,15926564074,24559681375,24165408823,22365848716,49.71963384,0,0
7/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9277.511719,9293.532227,9199.485352,9240.34668,13249910444,-38.460937,-3610125161,9266.715184,9262.89358,9258.353956,9272.107132,9219.74704,16806691103,-2609616895,0.006671,9278.807617,9265.707357,9275.307059,16860035605,16036882858,16063618635,19416307998,20260893492,22361871829,48.51538076,0,-1
7/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9241.054688,9319.418945,9197.450195,9276.5,14452361907,36.15332,1202451463,9271.607592,9266.295185,9260.773429,9272.5255,9221.972646,18560508406,1753817303,0.0078,9240.34668,9265.218099,9304.243862,13249910444,14854102652,16284898030,16806691103,18261169169,22377143070,49.74752156,0,1
