"DateTime","Inflow","Price"
"2017-09-11 00:00:00",3704979.4,267.55
"2017-09-18 00:00:00",1576478.78,277.7
"2017-09-25 00:00:00",1849564.35,296.65
"2017-10-02 00:00:00",1545937.86,299.7
"2017-10-09 00:00:00",1891021.62,313.92
"2017-10-16 00:00:00",1655306.9,311.44
"2017-10-23 00:00:00",1935847.72,294.64
"2017-10-30 00:00:00",1471032.46,298.46
"2017-11-06 00:00:00",3059781.06,305.66
"2017-11-13 00:00:00",1867898.06,332.44
"2017-11-20 00:00:00",4135263.48,409.66
"2017-11-27 00:00:00",2263580.91,457.44
"2017-12-04 00:00:00",3028434.33,448.22
"2017-12-11 00:00:00",3189588.84,644.9
"2017-12-18 00:00:00",2749531.47,731.5
"2017-12-25 00:00:00",2939904.63,720.52
"2018-01-01 00:00:00",3131165.73,919.17
"2018-01-08 00:00:00",3307600.33,1241.16
"2018-01-15 00:00:00",3346619.35,1082.08
"2018-01-22 00:00:00",2551479.14,1045.36
"2018-01-29 00:00:00",2313470.85,1015.95
"2018-02-05 00:00:00",2189249.55,788.95
"2018-02-12 00:00:00",1541957.94,903.27
"2018-02-19 00:00:00",1818507.82,865.15
"2018-02-26 00:00:00",617011.22,863.46
"2018-03-05 00:00:00",1068586.55,755.96
"2018-03-12 00:00:00",1900590.7,619.47
"2018-03-19 00:00:00",1717897.87,539.58
"2018-03-26 00:00:00",3666688.23,429.46
"2018-04-02 00:00:00",1596258.21,387.51
"2018-04-09 00:00:00",1780881.03,459.74
"2018-04-16 00:00:00",973991.28,556.93
"2018-04-23 00:00:00",2677184.96,657.93
"2018-04-30 00:00:00",1749234.04,731.85
"2018-05-07 00:00:00",2464599.46,720.13
"2018-05-14 00:00:00",1133304.42,699.35
"2018-05-21 00:00:00",1667174.36,616.18
"2018-05-28 00:00:00",2082431.41,569.38
"2018-06-04 00:00:00",1363603.76,593.67
"2018-06-11 00:00:00",1816026.39,500.07
"2018-06-18 00:00:00",1156134.65,500.8
"2018-06-25 00:00:00",1093236.16,441.59
"2018-07-02 00:00:00",630873.08,471.36
"2018-07-09 00:00:00",755861.52,443.95
"2018-07-16 00:00:00",1167178.79,469.98
"2018-07-23 00:00:00",832598.16,466.88
"2018-07-30 00:00:00",1533794.15,423.39
"2018-08-06 00:00:00",1247116.19,358.17
"2018-08-13 00:00:00",1623925.22,292.85
"2018-08-20 00:00:00",966344.76,278.3
"2018-08-27 00:00:00",1076195.19,287.08
"2018-09-03 00:00:00",3002943.03,240.09
"2018-09-10 00:00:00",2322947.89,200.67
"2018-09-17 00:00:00",1854073.82,223.09
"2018-09-24 00:00:00",1271752.93,224.32
"2018-10-01 00:00:00",825382.56,224.99
"2018-10-08 00:00:00",1476865.22,210.98
"2018-10-15 00:00:00",2529438.12,207.22
"2018-10-22 00:00:00",1211608.38,203.19
"2018-10-29 00:00:00",1484407.3,199.7
"2018-11-05 00:00:00",1404553.55,213
"2018-11-12 00:00:00",1914617.24,187.83
"2018-11-19 00:00:00",5449797.59,130.72
"2018-11-26 00:00:00",12730977.88,115.18
"2018-12-03 00:00:00",3909048.46,99.99
"2018-12-10 00:00:00",1958094.71,87.78
"2018-12-17 00:00:00",4896163,108.21
"2018-12-24 00:00:00",2739666,134.85
"2018-12-31 00:00:00",2638740.46,149.37
"2019-01-07 00:00:00",4244567.18,138.96
"2019-01-14 00:00:00",3057303.23,123.07
"2019-01-21 00:00:00",1381654.7,116.63
"2019-01-28 00:00:00",1916660.14,107.53
"2019-02-04 00:00:00",1544268.42,111.11
"2019-02-11 00:00:00",1837384.47,123.76
"2019-02-18 00:00:00",3853668.13,147.8
"2019-02-25 00:00:00",3642553.28,135.81
"2019-03-04 00:00:00",2554909.44,135.25
"2019-03-11 00:00:00",2165957.74,135.88
"2019-03-18 00:00:00",1944127.91,137.9
"2019-03-25 00:00:00",2540409.33,138.91
"2019-04-01 00:00:00",2731842.81,160.59
"2019-04-08 00:00:00",2468735.31,171.51
"2019-04-15 00:00:00",1777651.06,169.05
"2019-04-22 00:00:00",2125768.72,162.8
"2019-04-29 00:00:00",1861490.23,162.23
"2019-05-06 00:00:00",2851000.49,177.13
"2019-05-13 00:00:00",4257363.42,233.5
"2019-05-20 00:00:00",1499417.83,251.14
"2019-05-27 00:00:00",2665936.23,266.9
"2019-06-03 00:00:00",2446710.75,245.68
"2019-06-10 00:00:00",1507501.79,255.93
"2019-06-17 00:00:00",2115859.64,282.62
"2019-06-24 00:00:00",2796568.93,311.09
"2019-07-01 00:00:00",1175643.41,291.41
"2019-07-08 00:00:00",3784173.14,283.05
"2019-07-15 00:00:00",1372872.49,218.31
"2019-07-22 00:00:00",1857301.19,214.29
"2019-07-29 00:00:00",2414566.14,215.62
"2019-08-05 00:00:00",1858418.85,220.14
"2019-08-12 00:00:00",1220925.07,193.89
"2019-08-19 00:00:00",1161645.08,192.31
"2019-08-26 00:00:00",2321132.11,176.13
"2019-09-02 00:00:00",1381930.55,176.13
"2019-09-09 00:00:00",1644404.38,181.96
"2019-09-16 00:00:00",2197043.91,210.24
"2019-09-23 00:00:00",2041298.09,175.32
"2019-09-30 00:00:00",1410255.74,175.79
"2019-10-07 00:00:00",1449231.25,184.08
"2019-10-14 00:00:00",2093292.25,177.07
"2019-10-21 00:00:00",2567959.71,173.85
"2019-10-28 00:00:00",3110966.81,184.12
"2019-11-04 00:00:00",1019723.73,187.01
"2019-11-11 00:00:00",1078576.22,184.66
"2019-11-18 00:00:00",1731210.72,163.53
"2019-11-25 00:00:00",2681689.87,149.61
"2019-12-02 00:00:00",1394205.92,148.48
"2019-12-09 00:00:00",982555.71,144.73
"2019-12-16 00:00:00",2749892.66,129.22
"2019-12-23 00:00:00",2136605.73,128.42
"2019-12-30 00:00:00",1784265.86,132.05
"2020-01-06 00:00:00",1863225.18,141.76
"2020-01-13 00:00:00",2141626.43,162.86
"2020-01-20 00:00:00",1176725.66,163.99
"2020-01-27 00:00:00",2021204.04,177.79
"2020-02-03 00:00:00",2634130.71,207.33
"2020-02-10 00:00:00",2671969.96,254.28
"2020-02-17 00:00:00",2786261.1,263.74
"2020-02-24 00:00:00",2110812.28,235.76
"2020-03-02 00:00:00",2097503.13,229.35
"2020-03-09 00:00:00",6698810.24,159.39
"2020-03-16 00:00:00",4732263.34,123.95
"2020-03-23 00:00:00",3682388.6,133.6
"2020-03-30 00:00:00",2179601.92,138.2
"2020-04-06 00:00:00",2876683.62,163.64
"2020-04-13 00:00:00",2297050.44,166.82
"2020-04-20 00:00:00",3866554.71,183.91
"2020-04-27 00:00:00",2150026.91,207.03
"2020-05-04 00:00:00",2349276.83,205.72
"2020-05-11 00:00:00",1169865.55,195.93
"2020-05-18 00:00:00",1217981.31,207.55
"2020-05-25 00:00:00",1905781.58,215.96
"2020-06-01 00:00:00",2152274.11,240.99
"2020-06-08 00:00:00",1192498.36,239.47
"2020-06-15 00:00:00",2273264.77,229.81
"2020-06-22 00:00:00",3505712.08,232.59
"2020-06-29 00:00:00",1996373.45,226.89
"2020-07-06 00:00:00",2489835.97,239.87
"2020-07-13 00:00:00",1873830.76,236.98
"2020-07-20 00:00:00",5846707.15,269.55
"2020-07-27 00:00:00",4297905.37,339.15
"2020-08-03 00:00:00",2961454.45,389.87
"2020-08-10 00:00:00",5584169.05,407.22
"2020-08-17 00:00:00",4648640.14,408.75
"2020-08-24 00:00:00",5751876.04,394.45
"2020-08-31 00:00:00",14658223.36,403.65
"2020-09-07 00:00:00",13142189.35,357.93
"2020-09-14 00:00:00",13838626.13,375.53
"2020-09-21 00:00:00",7069354.09,344.99
"2020-09-28 00:00:00",7929006.53,353.07
"2020-10-05 00:00:00",6548034.77,354.8
"2020-10-12 00:00:00",5184298.84,375.59
"2020-10-19 00:00:00",5609258.64,396.71
"2020-10-26 00:00:00",5226081.75,391.66
"2020-11-02 00:00:00",6420899.81,414.89
"2020-11-09 00:00:00",4375943.58,457.65
"2020-11-16 00:00:00",8478685.09,495.88
"2020-11-23 00:00:00",6965118.87,560.61
"2020-11-30 00:00:00",5138778.66,597.01
"2020-12-07 00:00:00",4788198.72,567.11
"2020-12-14 00:00:00",7282671.96,625.68
"2020-12-21 00:00:00",5309808.93,620.5
"2020-12-28 00:00:00",6477651.9,754.61
"2021-01-04 00:00:00",9579086.95,1158.17
"2021-01-11 00:00:00",9837882.51,1142.29
"2021-01-18 00:00:00",7642905.87,1261.97
"2021-01-25 00:00:00",6947197.31,1334.89
