"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"04/12/2016","1334","1222","444"
"04/13/2016","938","825","374"
"04/14/2016","932","798","373"
"04/15/2016","3907","3847","318"
"04/16/2016","266","158","192"
"04/17/2016","221","140","158"
"04/18/2016","973","875","247"
"04/19/2016","790","686","263"
"04/20/2016","778","679","283"
"04/21/2016","596","521","228"
"04/22/2016","231","129","176"
"04/23/2016","169","99","118"
"04/24/2016","1344","1262","251"
"04/25/2016","2833","2772","210"
"04/26/2016","577","436","335"
"04/27/2016","239","144","175"
"04/28/2016","941","865","270"
"04/29/2016","889","696","470"
"04/30/2016","315","199","220"
"05/01/2016","920","862","152"
"05/02/2016","217","139","150"
"05/03/2016","250","142","182"
"05/04/2016","768","638","241"
"05/05/2016","292","192","196"
"05/06/2016","2777","2680","323"
"05/07/2016","273","175","194"
"05/08/2016","938","869","151"
"05/09/2016","288","161","209"
"05/10/2016","336","205","235"
"05/11/2016","290","188","195"
"05/12/2016","952","868","218"
"05/13/2016","251","149","155"
"05/14/2016","874","768","224"
"05/15/2016","221","140","136"
"05/16/2016","725","644","208"
"05/17/2016","248","157","171"
"05/18/2016","666","613","115"
"05/19/2016","478","410","136"
"05/20/2016","235","139","147"
"05/21/2016","681","636","106"
"05/22/2016","116","77","68"
"05/23/2016","185","118","99"
"05/24/2016","257","160","161"
"05/25/2016","202","129","132"
"05/26/2016","210","125","131"
"05/27/2016","259","184","165"
"05/28/2016","8117","2861","7321"
"05/29/2016","1957","1320","1543"
"05/30/2016","1302","898","957"
"05/31/2016","1173","789","823"
"06/01/2016","980","711","647"
"06/02/2016","716","496","451"
"06/03/2016","637","453","411"
"06/04/2016","620","447","387"
"06/05/2016","642","472","413"
"06/06/2016","680","481","443"
"06/07/2016","775","568","458"
"06/08/2016","993","805","463"
"06/09/2016","856","546","587"
"06/10/2016","871","584","575"
"06/11/2016","944","416","702"
"06/12/2016","717","508","479"
"06/13/2016","1037","754","667"
"06/14/2016","1465","1125","818"
"06/15/2016","1184","957","526"
"06/16/2016","960","695","599"
"06/17/2016","2900","1831","2386"
"06/18/2016","2413","1566","1911"
"06/19/2016","1288","814","1007"
"06/20/2016","1140","760","867"
"06/21/2016","1922","1653","761"
"06/22/2016","1101","754","852"
"06/23/2016","572","395","417"
"06/24/2016","582","420","385"
"06/25/2016","470","319","312"
"06/26/2016","799","355","651"
"06/27/2016","535","392","384"
"06/28/2016","606","407","455"
"06/29/2016","592","411","451"
"06/30/2016","483","337","346"
"07/01/2016","392","273","271"
"07/02/2016","426","303","305"
"07/03/2016","427","288","303"
"07/04/2016","454","314","325"
"07/05/2016","527","379","352"
"07/06/2016","376","275","249"
"07/07/2016","370","250","267"
"07/08/2016","394","282","268"
"07/09/2016","543","367","439"
"07/10/2016","316","213","232"
"07/11/2016","380","268","271"
"07/12/2016","386","248","294"
"07/13/2016","387","274","267"
"07/14/2016","531","381","367"
"07/15/2016","684","411","502"
"07/16/2016","745","233","634"
"07/17/2016","379","220","276"
"07/18/2016","1478","305","1349"
"07/19/2016","525","368","392"
"07/20/2016","2248","480","2109"
"07/21/2016","1654","411","1536"
"07/22/2016","1087","456","910"
"07/23/2016","907","365","720"
"07/24/2016","931","332","816"
"07/25/2016","801","319","673"
"07/26/2016","810","323","690"
"07/27/2016","669","301","551"
"07/28/2016","562","274","438"
"07/29/2016","480","248","384"
"07/30/2016","419","214","299"
"07/31/2016","359","192","284"
"08/01/2016","461","230","314"
"08/02/2016","591","268","448"
"08/03/2016","382","198","271"
"08/04/2016","385","216","256"
"08/05/2016","302","171","221"
"08/06/2016","218","113","168"
"08/07/2016","261","149","185"
"08/08/2016","265","165","204"
"08/09/2016","679","551","230"
"08/10/2016","359","193","246"
"08/11/2016","288","171","163"
"08/12/2016","278","175","169"
"08/13/2016","225","129","152"
"08/14/2016","194","121","130"
"08/15/2016","247","141","163"
"08/16/2016","1230","133","1154"
"08/17/2016","264","168","159"
"08/18/2016","195","115","125"
"08/19/2016","217","124","142"
"08/20/2016","235","136","148"
"08/21/2016","356","207","228"
"08/22/2016","455","282","291"
"08/23/2016","489","330","254"
"08/24/2016","410","231","238"
"08/25/2016","318","192","203"
"08/26/2016","365","178","254"
"08/27/2016","293","220","133"
"08/28/2016","347","268","129"
"08/29/2016","291","169","177"
"08/30/2016","267","161","166"
"08/31/2016","270","177","171"
"09/01/2016","275","162","175"
"09/02/2016","493","177","398"
"09/03/2016","172","102","115"
"09/04/2016","208","124","131"
"09/05/2016","281","173","166"
"09/06/2016","524","436","183"
"09/07/2016","306","186","171"
"09/08/2016","348","223","202"
"09/09/2016","207","144","115"
"09/10/2016","219","146","126"
"09/11/2016","200","125","120"
"09/12/2016","292","188","179"
"09/13/2016","300","193","163"
"09/14/2016","336","210","221"
"09/15/2016","306","214","175"
"09/16/2016","408","228","285"
"09/17/2016","698","519","257"
"09/18/2016","237","132","154"
"09/19/2016","247","137","138"
"09/20/2016","837","253","681"
"09/21/2016","1133","242","989"
"09/22/2016","249","154","161"
"09/23/2016","159","87","107"
"09/24/2016","208","125","129"
"09/25/2016","278","177","183"
"09/26/2016","198","111","128"
"09/27/2016","240","163","142"
"09/28/2016","247","130","178"
"09/29/2016","244","155","147"
"09/30/2016","223","121","146"
"10/01/2016","190","119","103"
"10/02/2016","346","215","212"
"10/03/2016","416","264","297"
"10/04/2016","3591","3494","1253"
"10/05/2016","1159","767","890"
"10/06/2016","861","609","576"
"10/07/2016","705","397","526"
"10/08/2016","485","315","353"
"10/09/2016","494","366","275"
"10/10/2016","583","415","337"
"10/11/2016","457","334","285"
"10/12/2016","347","220","223"
"10/13/2016","153","109","90"
"10/14/2016","262","171","160"
"10/15/2016","102","69","54"
"10/16/2016","118","78","62"
"10/17/2016","368","223","244"
"10/18/2016","399","279","210"
"10/19/2016","1635","1515","208"
"10/20/2016","391","270","220"
"10/21/2016","2783","324","2615"
"10/22/2016","312","227","184"
"10/23/2016","288","200","162"
"10/24/2016","1896","1770","212"
"10/25/2016","1341","966","928"
"10/26/2016","946","628","642"
"10/27/2016","727","417","536"
"10/28/2016","738","343","554"
"10/29/2016","484","286","347"
"10/30/2016","559","259","430"
"10/31/2016","442","256","299"
"11/01/2016","656","390","413"
"11/02/2016","567","336","338"
"11/03/2016","448","281","284"
"11/04/2016","319","216","188"
"11/05/2016","335","222","200"
"11/06/2016","299","204","187"
"11/07/2016","331","223","200"
"11/08/2016","385","249","252"
"11/09/2016","427","313","243"
"11/10/2016","340","258","189"
"11/11/2016","931","822","278"
"11/12/2016","451","264","293"
"11/13/2016","638","413","457"
"11/14/2016","645","478","382"
"11/15/2016","488","361","316"
"11/16/2016","485","352","273"
"11/17/2016","325","226","195"
"11/18/2016","338","239","218"
"11/19/2016","297","225","177"
"11/20/2016","532","453","171"
"11/21/2016","417","279","251"
"11/22/2016","1551","1433","256"
"11/23/2016","310","215","171"
"11/24/2016","243","170","138"
"11/25/2016","255","178","154"
"11/26/2016","653","594","161"
"11/27/2016","265","171","169"
"11/28/2016","457","347","211"
"11/29/2016","797","692","234"
"11/30/2016","401","283","248"
"12/01/2016","395","287","230"
"12/02/2016","1038","909","266"
"12/03/2016","315","229","188"
"12/04/2016","310","234","163"
"12/05/2016","495","341","317"
"12/06/2016","520","413","345"
"12/07/2016","1773","1687","245"
"12/08/2016","435","309","252"
"12/09/2016","388","298","233"
"12/10/2016","934","863","216"
"12/11/2016","352","278","184"
"12/12/2016","420","299","253"
"12/13/2016","724","618","259"
"12/14/2016","1531","1432","292"
"12/15/2016","880","789","212"
"12/16/2016","354","257","214"
"12/17/2016","313","220","193"
"12/18/2016","406","280","242"
"12/19/2016","1303","1054","537"
"12/20/2016","636","430","431"
"12/21/2016","1826","1692","387"
"12/22/2016","1551","1361","482"
"12/23/2016","1119","970","329"
"12/24/2016","421","326","211"
"12/25/2016","425","289","249"
"12/26/2016","473","320","282"
"12/27/2016","1659","1517","351"
"12/28/2016","974","772","410"
"12/29/2016","975","840","285"
"12/30/2016","1412","1099","464"
"12/31/2016","467","311","302"
"01/01/2017","373","274","203"
"01/02/2017","496","352","288"
"01/03/2017","1906","1795","324"
"01/04/2017","1086","888","399"
"01/05/2017","1572","1455","290"
"01/06/2017","1141","967","356"
"01/07/2017","904","814","244"
"01/08/2017","993","892","236"
"01/09/2017","1072","972","280"
"01/10/2017","1704","1594","275"
"01/11/2017","829","711","245"
"01/12/2017","1281","1130","317"
"01/13/2017","1394","1276","323"
"01/14/2017","782","689","250"
"01/15/2017","760","666","238"
"01/16/2017","702","561","295"
"01/17/2017","1705","1573","334"
"01/18/2017","777","661","256"
"01/19/2017","1132","1030","270"
"01/20/2017","1324","1200","316"
"01/21/2017","816","702","268"
"01/22/2017","1088","982","255"
"01/23/2017","723","612","304"
"01/24/2017","2172","1752","699"
"01/25/2017","1505","1345","452"
"01/26/2017","1535","1381","382"
"01/27/2017","1491","1320","447"
"01/28/2017","862","749","309"
"01/29/2017","856","768","231"
"01/30/2017","597","435","329"
"01/31/2017","1732","1616","326"
"02/01/2017","1375","1236","350"
"02/02/2017","1190","1073","314"
"02/03/2017","1480","1339","338"
"02/04/2017","842","699","312"
"02/05/2017","1034","894","322"
"02/06/2017","710","536","373"
"02/07/2017","1859","1701","422"
"02/08/2017","1466","1126","598"
"02/09/2017","1312","1159","357"
"02/10/2017","1337","1224","301"
"02/11/2017","987","882","282"
"02/12/2017","1049","941","307"
"02/13/2017","826","694","346"
"02/14/2017","1887","1747","367"
"02/15/2017","1268","1103","389"
"02/16/2017","691","553","305"
"02/17/2017","601","482","281"
"02/18/2017","1531","1133","1216"
"02/19/2017","707","558","381"
"02/20/2017","776","621","382"
"02/21/2017","2694","2543","442"
"02/22/2017","1493","1368","342"
"02/23/2017","1349","1228","305"
"02/24/2017","1552","1438","320"
"02/25/2017","2970","2879","248"
"02/26/2017","1214","961","428"
"02/27/2017","1299","1050","558"
"02/28/2017","2392","2177","515"
"03/01/2017","1383","1184","462"
"03/02/2017","1778","1546","583"
"03/03/2017","1989","1775","486"
"03/04/2017","1127","989","323"
"03/05/2017","1052","928","279"
"03/06/2017","819","631","396"
"03/07/2017","1740","1620","298"
"03/08/2017","1269","1080","395"
"03/09/2017","1740","1536","575"
"03/10/2017","1658","1522","398"
"03/11/2017","1467","1347","352"
"03/12/2017","1381","1189","496"
"03/13/2017","1308","1028","694"
"03/14/2017","2135","1923","494"
"03/15/2017","1983","1696","817"
"03/16/2017","2404","2065","885"
"03/17/2017","2337","1995","939"
"03/18/2017","1870","1675","509"
"03/19/2017","1494","1309","532"
"03/20/2017","1395","1170","665"
"03/21/2017","2725","2502","729"
"03/22/2017","1753","1530","624"
"03/23/2017","2060","1876","531"
