Date,Bitcoin,Crypto,Cryptocurrency,ETH,Crypto Ban,Crypto Bubble,Bull,Bear,Hack,Crypto Market,Stocks,Time to buy,should I sell,how to buy,exchange,wallet,mining,blockchain,Bitcoin_delta,Crypto_delta,Cryptocurrency_delta,ETH_delta,Crytpo Regulations_delta,Crypto Ban_delta,Crypto Bubble_delta,Bull_delta,Bear_delta,Hack_delta,Crypto Market_delta,Stocks_delta,Time to buy_delta,should I sell_delta,how to buy_delta,exchange_delta,wallet_delta,mining_delta,blockchain_delta,Open,High,Low,Close,Volume,PriceDelta,VolumeDelta,Twitter_Positive,Twitter_Neutral,Twitter_Negative,Telegram_Positive,Telegram_Neutral,Telegram_Negative,EMA3,EMA7,EMA14,EMA20,EMA50,Volume_USDT,VolumeDelta_USDT,Volatility_USDT,Yesterday_Price,3day_Past_Mean_Price,7day_Past_Mean_Price,Yesterday_Volume,3day_Past_Mean_Volume,7day_Past_Mean_Volume,Yesterday_Vol_USDT,3day_Past_Mean_Vol_USDT,7day_Past_Mean_Vol_USDT,RSI,RSI_BuySellFlag,EMA_BuySellFlag
8/2/2019,68,6,3,0,0,0,68,85,47,0,17,0,0,90,0,0,11,0,5,-1,0,-2,0,-3,0,5,10,4,0,0,0,0,90,0,0,0,0,217.88446,222.182571,215.97583,217.871567,6159440229,0.063126,193997587,417,2954,73,0,5,0,217.110463,216.1772928,220.3066907,226.2570508,242.1220996,17771010851,435568394,0.013817,217.808441,218.111384,213.5313807,5965442642,6042903737,5838058939,17335442457,17464705266,16657966659,41.86570662,0,0
8/3/2019,68,5,3,0,0,0,63,94,48,0,12,13,0,70,0,0,9,0,0,-1,0,0,0,0,0,-5,9,1,0,-5,13,0,-20,0,0,-2,0,217.895554,224.62323,217.331741,222.490341,5697798687,4.618774,-461641542,336,2336,39,0,2,0,219.800402,217.7555549,220.5978441,225.8983165,241.3522267,15536536966,-2234473885,0.016567,217.871567,219.3901163,215.6859566,6159440229,5940893853,5758072479,17771010851,16880996758,16218151805,44.68346806,0,0
8/4/2019,71,9,5,3,0,0,65,100,49,0,13,4,0,69,0,0,11,0,3,4,2,3,0,0,0,2,6,1,0,1,-9,0,-1,0,0,2,0,222.580811,224.227295,218.492172,222.669724,5238542572,0.179383,-459256115,264,2246,67,0,3,0,221.235063,218.9840972,220.8740948,225.5908315,240.6195796,16547093138,1010556172,0.018144,222.490341,221.010544,217.3264094,5697798687,5698593829,5720023142,15536536966,16618213652,16447068359,44.79538259,0,0
8/5/2019,68,4,0,5,0,2,60,93,48,4,14,19,0,0,47,0,0,3,-3,-5,-5,2,0,0,2,-5,-7,-1,4,1,15,0,-69,47,0,-11,3,222.650879,235.635284,222.603882,234.215027,7765060287,11.545303,2526517715,1405,3413,63,0,1,0,227.725045,222.7918296,222.6528857,226.4121834,240.3684206,23323661452,6776568314,0.015877,222.669724,226.458364,220.6045489,5238542572,6233800515,6045718802,16547093138,18469097185,17563382251,51.58465594,0,1
8/6/2019,85,15,4,4,0,0,51,73,43,0,22,13,0,0,58,0,0,4,17,11,4,-1,0,0,-2,-9,-20,-5,-4,8,-6,0,0,11,0,0,1,234.24559,239.115906,223.551178,226.020645,7647742672,-8.194382,-117317615,952,3467,83,0,6,0,226.872845,223.5990335,223.1019203,226.3748941,239.8057628,23116470540,-207190912,0.025836,234.215027,227.635132,222.8185556,7765060287,6883781844,6353979347,23323661452,20995741710,18702553985,47.15219088,0,-1
8/7/2019,81,9,6,3,0,0,50,83,45,2,15,5,9,0,61,0,0,0,-4,-6,2,-1,0,0,0,-1,10,2,2,-7,-8,9,0,3,0,0,-4,225.925293,229.65657,222.775452,226.391006,7020342210,0.370361,-627400462,637,3268,89,0,2,0,226.6319255,224.2970266,223.540465,226.3764285,239.2796939,21336570151,-1779900389,0.019221,226.020645,228.8755593,223.9238216,7647742672,7477715056,6499195614,23116470540,22592234048,19280969365,47.37229741,0,1
8/8/2019,82,7,2,0,0,2,60,84,46,1,16,18,0,0,49,0,0,3,1,-2,-4,-3,0,0,2,10,1,1,-1,1,13,-9,0,-12,0,0,3,226.518478,226.774719,216.516251,220.941864,6713525644,-5.449142,-306816566,642,3349,92,0,2,0,223.7868947,223.4582359,223.1939849,225.858851,238.5605633,19546253744,-1790316407,0.010674,226.391006,224.4511717,224.3714534,7020342210,7127203509,6606064614,21336570151,21333098145,19596799549,44.43962294,0,-1
8/9/2019,71,3,4,2,0,0,79,71,40,0,13,7,0,71,64,23,11,6,-11,-4,2,2,0,0,-2,19,-13,-6,-1,-3,-11,0,71,15,23,11,3,220.908646,221.364334,208.245972,210.488907,6964818795,-10.452957,251293151,521,3459,138,0,0,0,217.1379009,220.2159037,221.4999745,224.3950468,237.459714,19138167443,-408086301,0.008702,220.941864,219.2739257,223.3167877,6713525644,6899562216,6721118695,19546253744,20006997113,19792107633,39.40068607,0,0
8/10/2019,72,0,0,2,0,5,86,83,39,0,8,9,0,94,56,17,12,3,1,-3,-4,0,0,0,5,7,12,-1,0,-5,2,0,23,-8,-6,1,-3,210.530167,213.734833,203.793106,206.733536,6584748527,-3.755371,-380070268,436,2929,130,0,0,0,211.9357184,216.8453118,219.5311161,222.7129981,236.2547659,18865220050,-272947393,0.021484,210.488907,212.7214357,221.0658156,6964818795,6754364322,6847825815,19138167443,19183213746,20267633788,37.74482339,0,0
8/11/2019,70,7,3,8,0,0,100,70,39,0,9,9,0,91,51,23,12,3,-2,7,3,6,0,0,-5,14,-13,0,0,1,0,0,-3,-5,6,0,0,206.732239,216.598648,206.510803,216.092865,6440605605,9.359329,-144142922,456,2767,92,0,2,0,214.0142917,216.6572001,219.0726826,222.0825093,235.4641031,16176202793,-2689017257,0.009394,206.733536,211.1051027,220.1262643,6584748527,6663390976,7019549106,18865220050,18059863429,20214649453,44.05521996,0,0
8/12/2019,66,4,2,2,0,0,98,76,35,0,14,9,0,0,56,22,14,1,-4,-3,-1,-6,0,0,0,-2,6,-4,0,5,0,0,-91,5,-1,2,-2,216.055908,216.142563,210.946487,211.288071,5674315559,-4.804794,-766290046,465,3011,75,0,2,0,212.6511814,215.3149178,218.0347344,221.0544675,234.5160234,14362593627,-1813609166,0.006523,216.092865,211.3714907,216.8509849,6440605605,6233223230,6720871287,16176202793,16468005490,18934496907,41.71738931,0,0
8/13/2019,65,4,2,2,0,0,88,69,33,0,12,10,0,0,56,22,11,4,-1,0,0,0,0,0,0,-10,-7,-2,0,-2,1,0,0,0,0,-3,3,211.342697,211.384415,205.422501,208.709045,5946313205,-2.579026,271997646,685,3031,94,0,3,0,210.6801132,213.6634496,216.7913091,219.878713,233.503985,16990669408,2628075781,0.008182,211.288071,212.0299937,214.3778991,5674315559,6020411456,6477809935,14362593627,15843155276,18059382459,40.47580338,0,0
8/14/2019,82,8,2,5,0,8,76,64,29,1,15,11,4,0,63,24,14,4,17,4,0,3,0,0,8,-12,-5,-4,1,3,1,4,0,7,2,3,0,208.603989,209.066437,186.331924,186.607742,7444456154,-22.101303,1498142949,884,3596,189,1,1,0,198.6439276,206.8995227,212.7668335,216.7100491,231.6649167,20899800562,3909131154,0.017149,208.709045,202.2016193,208.6945757,5946313205,6355028306,6538397641,16990669408,17417687866,17996986804,31.75402127,0,0
8/15/2019,87,10,6,0,0,0,71,61,32,0,20,17,0,0,63,19,17,6,5,2,4,-5,0,0,-8,-5,-3,3,-1,5,6,-4,0,0,-5,3,2,186.683502,189.462158,178.142563,188.50206,8197244441,1.894318,752788287,697,3666,211,0,0,0,193.5729938,202.300157,209.5315304,214.0235739,229.9722556,24671808089,3772007527,0.016248,186.607742,194.6062823,204.060318,7444456154,7196004600,6750357469,20899800562,20854092686,18729208853,33.08494535,0,0
8/16/2019,85,8,3,2,0,0,61,92,44,0,16,12,0,0,63,0,13,6,-2,-2,-3,2,0,0,0,-10,31,12,0,-4,-5,0,0,0,-19,-4,0,188.644257,188.905594,180.384842,185.440079,7133915837,-3.061981,-1063328604,551,2983,161,0,6,0,189.5065364,198.0851375,206.3193369,211.3013363,228.2258958,20270456793,-4401351296,0.020032,188.50206,186.8499603,200.481914,8197244441,7591872144,6774514190,24671808089,21947355148,18890964475,31.99866393,0,0
8/17/2019,71,5,4,0,0,4,74,93,52,0,14,9,0,0,45,0,9,3,-14,-3,1,-2,0,0,4,13,1,8,0,-2,-3,0,0,-18,0,-4,-3,185.531662,186.70314,182.593887,185.687683,5512696513,0.247604,-1621219324,541,2676,142,1,1,0,187.5971097,194.9857739,203.5684497,208.8619408,226.5577306,14226877438,-6043579355,0.011623,185.440079,186.543274,197.4753636,7133915837,6947952264,6621363902,20270456793,19723047440,18228344101,32.19254225,0,0
8/18/2019,60,9,4,3,0,0,92,95,50,0,9,8,0,0,46,0,11,1,-11,4,0,3,0,0,-4,18,2,-2,0,-5,-1,0,0,1,0,2,-2,185.841095,197.522491,183.692245,194.49353,5969012024,8.805847,456315511,575,2894,137,0,1,0,191.0453198,194.8627129,202.3584604,207.4935207,225.3003109,14364172776,137295338,0.011269,185.687683,188.5404307,194.3897443,5512696513,6205208125,6553993390,14226877438,16287169002,17969482670,38.86796548,0,0
8/19/2019,76,9,3,2,0,0,75,0,46,0,0,0,3,90,58,26,0,2,16,0,-1,-1,0,0,0,-17,-95,-4,0,-9,-8,3,90,12,26,-11,1,194.55603,203.56015,193.108246,203.091934,6145148692,8.598404,176136668,674,3532,116,0,6,0,197.0686269,196.9200182,202.4562569,207.074322,224.4293942,16811861913,2447689137,0.008738,194.49353,194.4243823,193.2188676,5969012024,5875619076,6621255267,14364172776,15134304042,18319378140,44.60279596,0,0
8/20/2019,73,8,5,4,0,0,79,0,45,0,0,0,0,79,68,25,0,4,-3,-1,2,2,0,0,0,4,0,-1,0,0,0,-3,-11,10,-1,0,2,202.813141,203.015991,195.619537,196.565414,6408417610,-6.52652,263268918,659,3092,113,0,0,0,196.8170205,196.8313671,201.6708112,206.0734736,223.3366891,16172223852,-639638061,0.009003,203.091934,198.0502927,191.4840631,6145148692,6174192775,6687270182,16811861913,15782752847,18202457346,41.42610922,0,0
8/21/2019,65,7,5,3,0,0,73,0,46,0,0,0,0,100,60,24,0,7,-8,-1,0,-1,0,0,0,-6,0,1,0,0,0,0,21,-8,-1,0,3,196.621689,197.027435,182.689178,186.891632,7775772700,-9.673782,1367355090,651,3400,145,1,3,0,191.8543262,194.3464334,199.7002539,204.2466315,221.9074711,21391478351,5219254499,0.023645,196.565414,195.5163267,191.5246189,6408417610,6776446334,6734601117,16172223852,18125188039,18272697030,37.19725682,0,0
8/22/2019,63,4,0,0,0,0,66,0,39,0,0,0,4,60,65,19,0,3,-2,-3,-5,-3,0,0,0,-7,0,-7,0,0,0,4,-40,5,-5,0,-4,186.941238,194.415512,183.384521,191.332916,7569043874,4.441284,-206728826,557,3245,182,0,2,1,191.5936211,193.593054,198.5846089,203.0167539,220.708469,19233722241,-2157756110,0.02551,186.891632,191.596654,191.9290269,7775772700,7251078061,6644858179,21391478351,18932474815,17495827623,40.21470414,0,0
8/23/2019,58,7,2,3,3,4,77,0,0,0,0,5,0,77,63,17,14,4,-5,3,2,3,0,3,4,11,0,-39,0,0,5,-4,17,-2,-2,14,1,191.106873,195.906494,189.562317,194.706207,6658162377,3.373291,-910881497,443,3259,128,1,3,0,193.1499141,193.8713423,198.0674886,202.2252732,219.6887724,17469694439,-1764027802,0.012126,191.332916,190.9769183,193.2527594,7569043874,7334326317,6576893399,19233722241,19364965010,17095718716,42.4754125,0,0
8/24/2019,62,9,2,3,2,0,100,0,0,0,0,5,0,100,49,19,9,3,4,2,0,0,0,-1,-4,23,0,0,0,0,0,0,23,-14,2,-5,-1,194.671631,194.784988,187.627258,191.289566,6249737982,-3.416641,-408424395,399,2568,90,0,2,0,192.21974,193.2258982,197.1637656,201.1837773,218.5750781,16855228119,-614466320,0.017865,194.706207,192.4428963,194.0530284,6658162377,6825648078,6682185037,17469694439,17852881600,17471197384,40.79287521,0,0
8/25/2019,55,9,4,4,0,0,96,0,0,0,0,0,0,0,43,20,13,2,-7,0,2,1,0,-2,0,-4,0,0,0,0,-5,0,-100,-6,1,4,-1,191.234787,192.16333,184.964752,186.842392,5826017143,-4.447174,-423720839,445,2479,66,0,1,0,189.531066,191.6300216,195.7875825,199.8179311,217.330659,15701077262,-1154150857,0.015006,191.289566,190.946055,192.9600087,6249737982,6244639167,6661757197,16855228119,16675333273,17662183740,38.64696313,0,0
8/26/2019,81,7,2,3,0,0,82,0,0,0,0,0,0,0,54,20,12,4,26,-2,-2,-1,0,0,0,-14,0,0,0,0,0,0,0,11,0,-1,2,186.73555,193.442184,186.73555,188.929382,7207986636,2.08699,1381969493,594,2992,85,0,2,0,189.230224,190.9548617,194.8731557,198.7809264,216.2168834,20439272588,4738195326,0.017564,186.842392,189.0204467,190.936787,5826017143,6427913920,6813591189,15701077262,17665192656,18180385265,40.23583684,0,0
8/27/2019,63,3,3,2,4,0,80,0,0,0,0,0,0,0,61,20,10,5,-18,-4,1,-1,0,4,0,-2,0,0,0,0,0,0,0,7,0,-2,1,188.950058,188.963181,185.472931,187.516663,6042327402,-1.412719,-1165659234,667,3107,148,0,2,0,188.3734435,190.0953121,193.89229,197.7081394,215.0913846,15741344309,-4697928279,0.010234,188.929382,187.7628123,189.6441083,7207986636,6358777060,6761292588,20439272588,17293898053,18118831044,39.49030886,0,0
8/28/2019,56,5,3,3,0,0,67,0,0,0,0,0,0,0,62,23,15,2,-7,2,0,1,0,-4,0,-13,0,0,0,0,0,0,0,1,3,5,-3,187.495499,187.930878,172.185608,173.889969,6696604087,-13.626694,654276685,647,4148,189,0,1,0,181.1317063,186.0439763,191.2253139,195.4397422,213.4756428,20067236222,4325891913,0.020517,187.516663,183.445338,187.7867279,6042327402,6648972708,6607125643,15741344309,18749284373,17929653597,33.11630672,0,0
8/29/2019,77,12,4,2,0,0,58,0,0,0,0,0,0,0,61,22,15,3,21,7,1,-1,0,0,0,-9,0,0,0,0,0,0,0,-1,-1,0,1,173.958694,173.996399,167.170898,169.516739,7129569083,-4.37323,432964996,532,3821,219,0,5,0,175.3242226,181.912167,188.3308372,192.9708848,211.7517642,19588460309,-478775913,0.013734,173.889969,176.974457,184.6701311,6696604087,6622833524,6544343530,20067236222,18465680280,17980330464,31.36652231,0,0
8/30/2019,76,7,5,6,0,0,71,81,35,0,12,0,0,0,57,22,12,2,-1,-5,1,4,0,0,0,13,81,35,0,12,0,0,0,-4,0,-3,-1,169.489288,170.773514,167.071411,168.834869,5776520220,-0.68187,-1353048863,593,3465,101,0,2,0,172.0795458,178.6428425,185.7313748,190.6722166,210.0687487,15743697557,-3844762752,0.008872,169.516739,170.7471923,180.9742257,7129569083,6534231130,6418394650,19588460309,18466464696,17733759481,31.09068255,0,0
8/31/2019,54,6,3,0,0,0,79,89,45,2,12,0,0,0,46,22,11,2,-22,-1,-2,-6,0,0,0,8,8,10,2,0,0,0,0,-11,0,-1,0,168.887894,174.323975,167.802582,172.469788,5830212249,3.634919,53692029,417,2769,74,0,3,0,172.2746669,177.0995789,183.9631632,188.938652,208.5942797,13595017430,-2148680127,0.011998,168.834869,170.2737987,178.285686,5776520220,6245433851,6358462403,15743697557,16309058432,17268015097,34.40242173,0,0
9/1/2019,56,7,0,1,0,0,68,90,44,0,9,0,0,0,47,24,9,1,2,1,-3,1,0,0,0,-11,1,-1,-2,-3,0,0,0,1,2,-2,-1,172.458405,173.696854,169.531281,171.629425,5554799576,-0.840363,-275412673,400,2811,99,1,3,0,171.952046,175.7320404,182.3186648,187.2901542,207.1446775,13692453817,97436387,0.009079,172.469788,170.9780273,176.112405,5830212249,5720510682,6319717036,13595017430,14343722935,16981068890,33.99564294,0,0
9/2/2019,61,6,0,2,0,0,62,87,43,0,12,9,0,79,55,21,12,3,5,-1,0,1,0,0,0,-6,-3,-1,0,3,9,0,79,8,-3,3,2,171.697601,180.145218,170.451691,178.347351,6503447137,6.717926,948647561,539,3398,126,0,2,2,175.1496985,176.385868,181.7891563,186.4384586,206.0153706,19393673770,5701219953,0.010341,171.629425,174.1488547,174.6006863,5554799576,5962819654,6219068536,13692453817,15560381672,16831697631,40.09374179,0,0
9/3/2019,67,9,0,5,0,0,59,82,38,2,12,0,6,72,61,18,13,3,6,3,0,3,0,0,0,-3,-5,-5,2,0,-9,6,-7,6,-3,1,0,178.357758,182.347992,175.970169,179.499329,6962728938,1.151978,459281801,494,3472,119,0,2,0,177.3245137,177.1642333,181.483846,185.7775891,204.9755258,20961149310,1567475540,0.01188,178.347351,176.492035,173.4553529,6503447137,6340325217,6350554470,19393673770,18015758966,17577384059,41.09868267,0,0
9/4/2019,71,4,0,0,2,0,49,76,38,0,11,8,14,75,64,24,11,3,4,-5,0,-5,0,2,0,-10,-6,0,-2,-1,8,8,3,3,6,-2,0,179.491989,180.136597,175.325363,175.992889,5938120494,-3.50644,-1024608444,551,4205,114,0,6,0,176.6587014,176.8713972,180.7517184,184.8457129,203.8389519,17773100138,-3188049172,0.010142,179.499329,177.946523,173.75577,6962728938,6468098856,6242199671,20961149310,19375974406,17249650333,38.95650626,0,0
9/5/2019,0,7,6,0,0,0,47,74,39,1,13,9,0,88,65,22,14,4,-71,3,6,0,0,-2,0,-2,-2,1,1,2,1,-14,13,1,-2,3,1,175.966278,176.16391,171.746826,174.217133,5589476516,-1.775756,-348643978,561,3563,167,0,6,0,175.4379172,176.2078312,179.8804403,183.8334672,202.6773119,16117656384,-1655443754,0.008643,175.992889,176.5697837,174.4272549,5938120494,6163441983,6022186447,17773100138,18283968611,16753821201,37.87970518,0,0
9/6/2019,0,7,6,0,0,0,60,100,40,0,14,14,0,83,54,22,8,5,0,0,0,0,0,0,0,13,26,1,-1,1,5,0,-5,-11,0,-6,1,174.172226,177.718704,168.341339,169.956177,6797611878,-4.260956,1208135362,555,3133,190,0,4,0,172.6970471,174.6449176,178.5572052,182.5118205,201.3941301,21625818728,5508162344,0.02179,174.217133,173.388733,174.5874417,5589476516,6108402963,6168056684,16117656384,18505525083,17594124225,35.35443513,0,0
9/7/2019,66,5,7,4,0,0,59,87,43,0,13,0,0,65,53,21,12,0,66,-2,1,4,0,0,0,-1,-13,3,0,-1,-14,0,-18,-1,-1,4,-5,169.955276,180.851608,169.444122,178.262619,6791531342,8.306442,-6080536,458,2670,54,0,2,0,175.479833,175.549343,178.5179271,182.1071347,200.4870121,17519761214,-4106057514,0.010435,169.956177,174.1453097,175.414989,6797611878,6392873245,6305387983,21625818728,18421078775,18154801909,43.29121364,0,0
9/8/2019,0,6,4,0,0,2,75,89,44,0,8,10,9,80,52,19,11,6,-66,1,-3,-4,0,0,2,16,2,1,0,-5,10,9,15,-1,-2,-1,6,178.282593,182.977081,178.142502,181.35553,6472677266,3.092911,-318854076,543,2995,82,0,1,0,178.4176815,177.0008897,178.8962741,182.0355533,199.7367579,16261435450,-1258325764,0.01944,178.262619,176.5247753,176.8044326,6791531342,6687273495,6436513367,17519761214,18469005131,18521799285,45.95207135,0,0
9/9/2019,0,0,0,0,0,0,73,0,0,0,0,0,0,0,61,17,15,5,0,-6,-4,0,0,0,-2,-2,-89,-44,0,-8,-10,-9,-80,9,-2,4,-1,181.362488,184.14946,177.419357,181.14946,7232938985,-0.20607,760261719,550,3032,87,0,1,0,179.7835708,178.0380323,179.1966989,181.9511634,199.0078442,20257637729,3996202279,0.016457,181.35553,180.2558697,177.2047339,6472677266,6832382531,6540726488,16261435450,18012944798,18645222708,45.797884,0,0
9/10/2019,0,10,0,0,0,0,0,80,29,1,15,0,0,0,64,26,8,6,0,10,0,0,0,0,0,-73,80,29,1,15,0,0,0,3,9,-7,1,181.212845,184.063431,178.122421,179.78717,6291476772,-1.36229,-941462213,540,3215,86,0,2,0,179.7853704,178.4753167,179.2754284,181.7450688,198.2540923,17017654802,-3239982927,0.013515,181.14946,180.7640533,177.245854,7232938985,6665697674,6444833322,20257637729,17845575994,18081866349,44.72938034,0,0
