"DateTime","Average Priority Fee","Price"
"2022-05-11 00:00:00",1.6e-8,2227.0299999999997
"2022-05-12 00:00:00",1.8e-8,1947.415
"2022-05-13 00:00:00",7e-9,2039.855
"2022-05-14 00:00:00",7e-9,2006.925
"2022-05-15 00:00:00",5e-9,2079.585
"2022-05-16 00:00:00",6e-9,2060.52
"2022-05-17 00:00:00",5e-9,2062.945
"2022-05-18 00:00:00",5e-9,2007.195
"2022-05-19 00:00:00",6e-9,1969.915
"2022-05-20 00:00:00",5e-9,1991.21
"2022-05-21 00:00:00",6e-9,1961.83
"2022-05-22 00:00:00",4e-9,2008.6699999999998
"2022-05-23 00:00:00",5e-9,2020.855
"2022-05-24 00:00:00",6e-9,1950.8049999999998
"2022-05-25 00:00:00",5e-9,1976.525
"2022-05-26 00:00:00",7e-9,1852.365
"2022-05-27 00:00:00",6e-9,1763.655
"2022-05-28 00:00:00",4e-9,1764.17
"2022-05-29 00:00:00",5e-9,1793.8400000000001
"2022-05-30 00:00:00",6e-9,1906.92
"2022-05-31 00:00:00",1.1e-8,1970.1
"2022-06-01 00:00:00",7e-9,1867.945
"2022-06-02 00:00:00",6e-9,1816.95
"2022-06-03 00:00:00",6e-9,1789.75
"2022-06-04 00:00:00",1e-8,1780.88
"2022-06-05 00:00:00",6e-9,1800.095
"2022-06-06 00:00:00",8e-9,1860.8449999999998
"2022-06-07 00:00:00",8e-9,1798.8049999999998
"2022-06-08 00:00:00",8e-9,1800.955
"2022-06-09 00:00:00",1.1e-8,1804.0549999999998
"2022-06-10 00:00:00",8e-9,1728.72
"2022-06-11 00:00:00",7e-9,1590.375
"2022-06-12 00:00:00",7e-9,1485.52
"2022-06-13 00:00:00",1.6e-8,1309.205
"2022-06-14 00:00:00",1.1e-8,1169.76
"2022-06-15 00:00:00",1.1e-8,1129.065
"2022-06-16 00:00:00",7e-9,1153.42
"2022-06-17 00:00:00",9e-9,1083.31
"2022-06-18 00:00:00",1.1e-8,989.85
"2022-06-19 00:00:00",8e-9,1045.29
"2022-06-20 00:00:00",6e-9,1109.3049999999998
"2022-06-21 00:00:00",8e-9,1149.975
"2022-06-22 00:00:00",7e-9,1084.4299999999998
"2022-06-23 00:00:00",8e-9,1098.3
"2022-06-24 00:00:00",9e-9,1187.79
"2022-06-25 00:00:00",6e-9,1217.005
"2022-06-26 00:00:00",6e-9,1236.97
"2022-06-27 00:00:00",7e-9,1205.575
"2022-06-28 00:00:00",8e-9,1185.23
"2022-06-29 00:00:00",1.3e-8,1120.5
"2022-06-30 00:00:00",9e-9,1052.185
"2022-07-01 00:00:00",5e-9,1070.54
"2022-07-02 00:00:00",4e-9,1052.1399999999999
"2022-07-03 00:00:00",5e-9,1062.895
"2022-07-04 00:00:00",5e-9,1101.69
"2022-07-05 00:00:00",6e-9,1123.5549999999998
"2022-07-06 00:00:00",6e-9,1156.375
"2022-07-07 00:00:00",5e-9,1207.96
"2022-07-08 00:00:00",5e-9,1233.6
"2022-07-09 00:00:00",1.2e-8,1218.37
"2022-07-10 00:00:00",4e-9,1186.2849999999999
"2022-07-11 00:00:00",7e-9,1127.7649999999999
"2022-07-12 00:00:00",6e-9,1064.825
"2022-07-13 00:00:00",8e-9,1063.52
"2022-07-14 00:00:00",6e-9,1141.975
"2022-07-15 00:00:00",5e-9,1233.22
"2022-07-16 00:00:00",5e-9,1295.835
"2022-07-17 00:00:00",5e-9,1352.98
"2022-07-18 00:00:00",6e-9,1464.78
"2022-07-19 00:00:00",7e-9,1559.1599999999999
"2022-07-20 00:00:00",6e-9,1553.9099999999999
"2022-07-21 00:00:00",5e-9,1535.365
"2022-07-22 00:00:00",4e-9,1581.49
"2022-07-23 00:00:00",4e-9,1542.935
"2022-07-24 00:00:00",4e-9,1605.4099999999999
"2022-07-25 00:00:00",5e-9,1522.815
"2022-07-26 00:00:00",4e-9,1405.645
"2022-07-27 00:00:00",6e-9,1532.87
"2022-07-28 00:00:00",6e-9,1691.19
"2022-07-29 00:00:00",5e-9,1711.49
"2022-07-30 00:00:00",4e-9,1709.63
"2022-07-31 00:00:00",4e-9,1709.97
"2022-08-01 00:00:00",1.1e-8,1656.01
"2022-08-02 00:00:00",4e-9,1619.6799999999998
"2022-08-03 00:00:00",4e-9,1636.93
"2022-08-04 00:00:00",4e-9,1621.975
"2022-08-05 00:00:00",4e-9,1673.2649999999999
"2022-08-06 00:00:00",3e-9,1718.355
"2022-08-07 00:00:00",3e-9,1699.175
"2022-08-08 00:00:00",4e-9,1755.1599999999999
"2022-08-09 00:00:00",5e-9,1730.26
"2022-08-10 00:00:00",8e-9,1771.43
"2022-08-11 00:00:00",5e-9,1896.2649999999999
"2022-08-12 00:00:00",4e-9,1910.19
"2022-08-13 00:00:00",4e-9,1983.8899999999999
"2022-08-14 00:00:00",4e-9,1968.615
"2022-08-15 00:00:00",8e-9,1940.98
"2022-08-16 00:00:00",4e-9,1884.395
"2022-08-17 00:00:00",4e-9,1887.4
"2022-08-18 00:00:00",3e-9,1851.93
"2022-08-19 00:00:00",5e-9,1725.615
