"Date(UTC)","UnixTimeStamp","Value"
"11/16/2019","1573862400","379951505903036384543"
"11/17/2019","1573948800","402111509834007297062"
"11/18/2019","1574035200","618224443406133057704"
"11/19/2019","1574121600","514580194545251535206"
"11/20/2019","1574208000","508597206183188327944"
"11/21/2019","1574294400","764870316334321523913"
"11/22/2019","1574380800","1247618682938339845269"
"11/23/2019","1574467200","426844751724791788441"
"11/24/2019","1574553600","426170439949826944360"
"11/25/2019","1574640000","983451890585947249632"
"11/26/2019","1574726400","685816215734703381429"
"11/27/2019","1574812800","549528134124907763819"
"11/28/2019","1574899200","545171243593156264112"
"11/29/2019","1574985600","466649687104896615217"
"11/30/2019","1575072000","406069891267931870687"
"12/1/2019","1575158400","491442702093312516610"
"12/2/2019","1575244800","501688389429494594150"
"12/3/2019","1575331200","435856745043069224840"
"12/4/2019","1575417600","486052553788431777161"
"12/5/2019","1575504000","417555309665926787611"
"12/6/2019","1575590400","372493451991900615265"
"12/7/2019","1575676800","308973700731051660675"
"12/8/2019","1575763200","265098525128129066889"
"12/9/2019","1575849600","381435427612885249702"
"12/10/2019","1575936000","418738180177831825851"
"12/11/2019","1576022400","428872788684743798861"
"12/12/2019","1576108800","419127534481855551757"
"12/13/2019","1576195200","398814109915863305797"
"12/14/2019","1576281600","340902506530714383340"
"12/15/2019","1576368000","352163253058719398227"
"12/16/2019","1576454400","502340850500566775265"
"12/17/2019","1576540800","667705801492541777821"
"12/18/2019","1576627200","570354672937133563790"
"12/19/2019","1576713600","431477175766938724887"
"12/20/2019","1576800000","438282455843686084426"
"12/21/2019","1576886400","342874263987433124374"
"12/22/2019","1576972800","321917912588682928893"
"12/23/2019","1577059200","430460201919398053478"
"12/24/2019","1577145600","373031636508213772595"
"12/25/2019","1577232000","357581626049902916615"
"12/26/2019","1577318400","365641618102115657553"
"12/27/2019","1577404800","355385285766942402686"
"12/28/2019","1577491200","305483178425585264841"
"12/29/2019","1577577600","293629712438213786147"
"12/30/2019","1577664000","352921464570457351700"
"12/31/2019","1577750400","373948833651965798018"
"1/1/2020","1577836800","300158297507459636968"
"1/2/2020","1577923200","289905747615826559958"
"1/3/2020","1578009600","341810244038623381003"
"1/4/2020","1578096000","275788677733425203843"
"1/5/2020","1578182400","267585827469056107989"
"1/6/2020","1578268800","365130435090800503950"
"1/7/2020","1578355200","351416569353127172155"
"1/8/2020","1578441600","423904577993973289238"
"1/9/2020","1578528000","345756340566682465139"
"1/10/2020","1578614400","411438351691261233319"
"1/11/2020","1578700800","313037140049897215444"
"1/12/2020","1578787200","288633167984528744314"
"1/13/2020","1578873600","343617325172867618926"
"1/14/2020","1578960000","505107590273627636891"
"1/15/2020","1579046400","406798121480971650082"
"1/16/2020","1579132800","342678928543599534122"
"1/17/2020","1579219200","369722173509350292726"
"1/18/2020","1579305600","344951379699614492182"
"1/19/2020","1579392000","324546950686489536079"
"1/20/2020","1579478400","296585236361044914578"
"1/21/2020","1579564800","274265211799812671335"
"1/22/2020","1579651200","252926557999242168524"
"1/23/2020","1579737600","255821627561609085061"
"1/24/2020","1579824000","251476247800749042199"
"1/25/2020","1579910400","190131630760045877545"
"1/26/2020","1579996800","193430187633532204235"
"1/27/2020","1580083200","234488606666572867434"
"1/28/2020","1580169600","260539236794447465808"
"1/29/2020","1580256000","269412681400351914153"
"1/30/2020","1580342400","309173777803327946057"
"1/31/2020","1580428800","305322830233603414796"
"2/1/2020","1580515200","274201564397268291300"
"2/2/2020","1580601600","278102824245715154750"
"2/3/2020","1580688000","322006416867693728429"
"2/4/2020","1580774400","355728738231241354224"
"2/5/2020","1580860800","438249561716445960044"
"2/6/2020","1580947200","485000880804140241293"
"2/7/2020","1581033600","487820303712308434203"
"2/8/2020","1581120000","395374450026645634884"
"2/9/2020","1581206400","368387263321108801497"
"2/10/2020","1581292800","391843103633768313744"
"2/11/2020","1581379200","425574892389594585581"
"2/12/2020","1581465600","591936372923839286175"
"2/13/2020","1581552000","542172018765112349556"
"2/14/2020","1581638400","523026622564163462556"
"2/15/2020","1581724800","498227329648677374399"
"2/16/2020","1581811200","593291085541228604323"
"2/17/2020","1581897600","480511082944346116929"
"2/18/2020","1581984000","449144330931577270408"
"2/19/2020","1582070400","489254101198236910369"
"2/20/2020","1582156800","515092914963008369919"
"2/21/2020","1582243200","342592641993057411347"
"2/22/2020","1582329600","306166021241011457852"
"2/23/2020","1582416000","361721489920007189220"
"2/24/2020","1582502400","409279307851588279307"
"2/25/2020","1582588800","475984157403945960606"
"2/26/2020","1582675200","847851282585307035600"
"2/27/2020","1582761600","546821348568420122157"
"2/28/2020","1582848000","465487544160529956123"
"2/29/2020","1582934400","326307046361614191847"
"3/1/2020","1583020800","344935625351164305094"
"3/2/2020","1583107200","354488239421986571573"
"3/3/2020","1583193600","373637412524880666596"
"3/4/2020","1583280000","377332309937586273061"
"3/5/2020","1583366400","434519240332865788649"
"3/6/2020","1583452800","401601683128802425996"
"3/7/2020","1583539200","369337932153508711158"
"3/8/2020","1583625600","681288725196656320875"
"3/9/2020","1583712000","747922060454980881490"
"3/10/2020","1583798400","470560112829601884640"
"3/11/2020","1583884800","587177134374734171850"
"3/12/2020","1583971200","5112962877423388313220"
"3/13/2020","1584057600","4904498969690957243322"
"3/14/2020","1584144000","585942870826970433572"
"3/15/2020","1584230400","523336291593369834839"
"3/16/2020","1584316800","1458398059811283891231"
"3/17/2020","1584403200","759560826567116798947"
"3/18/2020","1584489600","613754930466548800641"
"3/19/2020","1584576000","888164144011551120096"
"3/20/2020","1584662400","723896225190783765996"
"3/21/2020","1584748800","517400525170320857993"
"3/22/2020","1584835200","500344847372340294365"
"3/23/2020","1584921600","590391078944868076905"
"3/24/2020","1585008000","561403051931441313146"
"3/25/2020","1585094400","548042865715335712108"
"3/26/2020","1585180800","526207263959382231497"
"3/27/2020","1585267200","491508593221265007848"
"3/28/2020","1585353600","402682721890084550882"
"3/29/2020","1585440000","351972078154338086739"
"3/30/2020","1585526400","453421142859057155862"
"3/31/2020","1585612800","500576909063047485283"
"4/1/2020","1585699200","457728734982445514544"
"4/2/2020","1585785600","521596274180949882482"
"4/3/2020","1585872000","486430784895730150859"
"4/4/2020","1585958400","363733650672776306819"
"4/5/2020","1586044800","352418793553890755315"
"4/6/2020","1586131200","641609307579047107896"
"4/7/2020","1586217600","581956717829112018768"
"4/8/2020","1586304000","511237521198245713246"
"4/9/2020","1586390400","490259293954125226142"
"4/10/2020","1586476800","520404512776089043456"
"4/11/2020","1586563200","399057944430420514608"
"4/12/2020","1586649600","367810501349059850591"
"4/13/2020","1586736000","495842262988619922783"
"4/14/2020","1586822400","525313394602896327159"
"4/15/2020","1586908800","493208569139933911507"
"4/16/2020","1586995200","693830514351238691166"
"4/17/2020","1587081600","528054698903287859690"
"4/18/2020","1587168000","584290569714333714964"
"4/19/2020","1587254400","513189146891433538915"
"4/20/2020","1587340800","662094831805021497979"
"4/21/2020","1587427200","697261803463540497199"
"4/22/2020","1587513600","657733728159923079743"
"4/23/2020","1587600000","693255246983586983553"
"4/24/2020","1587686400","663001978421938512878"
"4/25/2020","1587772800","568630633452094227541"
"4/26/2020","1587859200","635743288889980866260"
"4/27/2020","1587945600","651649888584299700885"
"4/28/2020","1588032000","597748886540734852159"
"4/29/2020","1588118400","978342003144795625707"
"4/30/2020","1588204800","1276050163167455907651"
"5/1/2020","1588291200","682262526885650981017"
"5/2/2020","1588377600","519301518892234814976"
"5/3/2020","1588464000","601976980869346984845"
"5/4/2020","1588550400","742571297504643158102"
"5/5/2020","1588636800","779218945329277797078"
"5/6/2020","1588723200","942909044403325582066"
"5/7/2020","1588809600","1165186071117090900533"
"5/8/2020","1588896000","1143695987176094491835"
"5/9/2020","1588982400","941931341748121679814"
"5/10/2020","1589068800","1704240857299589073393"
"5/11/2020","1589155200","1302231222176694677098"
"5/12/2020","1589241600","1462671688309754183229"
"5/13/2020","1589328000","1855680808874892390514"
"5/14/2020","1589414400","2249151470801651776122"
"5/15/2020","1589500800","1703919701065875794607"
"5/16/2020","1589587200","1381230858094282361970"
"5/17/2020","1589673600","1485007893894514810500"
"5/18/2020","1589760000","2001364326005327697930"
"5/19/2020","1589846400","1785353812658015232067"
"5/20/2020","1589932800","2065609964270990907562"
"5/21/2020","1590019200","2809292172032596447039"
"5/22/2020","1590105600","1934635729166748221610"
"5/23/2020","1590192000","1230240036706570866677"
"5/24/2020","1590278400","1615103252011087028486"
"5/25/2020","1590364800","2085507315893041833747"
"5/26/2020","1590451200","2141285354723071273000"
"5/27/2020","1590537600","2325220858460414649087"
"5/28/2020","1590624000","2256467455712699971378"
"5/29/2020","1590710400","1962587621660917705669"
"5/30/2020","1590796800","1896568442988871679979"
"5/31/2020","1590883200","1571986221142110020639"
"6/1/2020","1590969600","1797136197086225245260"
"6/2/2020","1591056000","2084439248004069404784"
"6/3/2020","1591142400","1621421726143587859543"
"6/4/2020","1591228800","1738229046055936126570"
"6/5/2020","1591315200","1820203352024090301197"
"6/6/2020","1591401600","2061880529831878828299"
"6/7/2020","1591488000","2242188973701267545650"
"6/8/2020","1591574400","2268498663741874028003"
"6/9/2020","1591660800","2152572191774426729806"
"6/10/2020","1591747200","13028588186697553022110"
"6/11/2020","1591833600","15374798287622809537641"
"6/12/2020","1591920000","2048130098978082940336"
"6/13/2020","1592006400","1591207928394137935753"
"6/14/2020","1592092800","1340126564787117426574"
"6/15/2020","1592179200","2532148961200187207418"
"6/16/2020","1592265600","2306791403269001499229"
"6/17/2020","1592352000","2423167163772731424344"
"6/18/2020","1592438400","2227178718122304728902"
"6/19/2020","1592524800","2476531669893170697218"
"6/20/2020","1592611200","1950967532255413929433"
"6/21/2020","1592697600","1991253869474589985672"
"6/22/2020","1592784000","2846216099040018670974"
"6/23/2020","1592870400","3195626346711575457700"
"6/24/2020","1592956800","3310327331324018082761"
"6/25/2020","1593043200","2945818529675432825662"
"6/26/2020","1593129600","2687986422651098698253"
"6/27/2020","1593216000","2518039543941557424345"
"6/28/2020","1593302400","2422832912076800232206"
"6/29/2020","1593388800","2696246474766179447670"
"6/30/2020","1593475200","3606557485461472448646"
"7/1/2020","1593561600","3222543483902834234649"
"7/2/2020","1593648000","2905199004049536270076"
"7/3/2020","1593734400","3022917815020714278694"
"7/4/2020","1593820800","2248859530928512358811"
"7/5/2020","1593907200","2104098255599082388940"
"7/6/2020","1593993600","2723247348690025392667"
"7/7/2020","1594080000","2766367003929471507421"
"7/8/2020","1594166400","3598790589979815018850"
"7/9/2020","1594252800","3261717336780908395077"
"7/10/2020","1594339200","2558535355607017198838"
"7/11/2020","1594425600","2248096114225864282011"
"7/12/2020","1594512000","2110058415005634421365"
"7/13/2020","1594598400","3601214356254305380910"
"7/14/2020","1594684800","2991335326102245343615"
"7/15/2020","1594771200","3588577455502007393925"
"7/16/2020","1594857600","3865754091592233201094"
"7/17/2020","1594944000","3972430200784223370038"
"7/18/2020","1595030400","3643109447045698123511"
"7/19/2020","1595116800","3943184193284246228374"
"7/20/2020","1595203200","5079939728370055162756"
"7/21/2020","1595289600","5327699459643371300350"
"7/22/2020","1595376000","5190742889966917525524"
"7/23/2020","1595462400","5987575656320563942793"
"7/24/2020","1595548800","5618909110124034397868"
"7/25/2020","1595635200","6151602366100149462718"
"7/26/2020","1595721600","5485496427984096034846"
