"Date(UTC)","UnixTimeStamp","No. of ERC20 Token Transfers"
"2019-03-25","1553472000","325590"
"2019-03-26","1553558400","343053"
"2019-03-27","1553644800","437775"
"2019-03-28","1553731200","348420"
"2019-03-29","1553817600","330497"
"2019-03-30","1553904000","423378"
"2019-03-31","1553990400","423097"
"2019-04-01","1554076800","409745"
"2019-04-02","1554163200","392320"
"2019-04-03","1554249600","375742"
"2019-04-04","1554336000","391261"
"2019-04-05","1554422400","323874"
"2019-04-06","1554508800","270869"
"2019-04-07","1554595200","273821"
"2019-04-08","1554681600","339257"
"2019-04-09","1554768000","343874"
"2019-04-10","1554854400","339406"
"2019-04-11","1554940800","356270"
"2019-04-12","1555027200","361404"
"2019-04-13","1555113600","318285"
"2019-04-14","1555200000","318672"
"2019-04-15","1555286400","295531"
"2019-04-16","1555372800","346998"
"2019-04-17","1555459200","361307"
"2019-04-18","1555545600","421910"
"2019-04-19","1555632000","377642"
"2019-04-20","1555718400","353886"
"2019-04-21","1555804800","394887"
"2019-04-22","1555891200","461668"
"2019-04-23","1555977600","437586"
"2019-04-24","1556064000","439083"
"2019-04-25","1556150400","338777"
"2019-04-26","1556236800","366001"
"2019-04-27","1556323200","282692"
"2019-04-28","1556409600","358990"
"2019-04-29","1556496000","365242"
"2019-04-30","1556582400","423180"
"2019-05-01","1556668800","387502"
"2019-05-02","1556755200","310343"
"2019-05-03","1556841600","375126"
"2019-05-04","1556928000","336725"
"2019-05-05","1557014400","332600"
"2019-05-06","1557100800","364582"
"2019-05-07","1557187200","345881"
"2019-05-08","1557273600","340650"
"2019-05-09","1557360000","407535"
"2019-05-10","1557446400","499608"
"2019-05-11","1557532800","409162"
"2019-05-12","1557619200","379982"
"2019-05-13","1557705600","439445"
"2019-05-14","1557792000","445781"
"2019-05-15","1557878400","460125"
"2019-05-16","1557964800","437872"
"2019-05-17","1558051200","410503"
"2019-05-18","1558137600","418775"
"2019-05-19","1558224000","452853"
"2019-05-20","1558310400","468141"
"2019-05-21","1558396800","423008"
"2019-05-22","1558483200","516085"
"2019-05-23","1558569600","466466"
"2019-05-24","1558656000","501874"
"2019-05-25","1558742400","475844"
"2019-05-26","1558828800","402136"
"2019-05-27","1558915200","540432"
"2019-05-28","1559001600","486792"
"2019-05-29","1559088000","544015"
"2019-05-30","1559174400","489077"
"2019-05-31","1559260800","527326"
"2019-06-01","1559347200","560662"
"2019-06-02","1559433600","480786"
"2019-06-03","1559520000","484457"
"2019-06-04","1559606400","495701"
"2019-06-05","1559692800","480533"
"2019-06-06","1559779200","519479"
"2019-06-07","1559865600","402846"
"2019-06-08","1559952000","571902"
"2019-06-09","1560038400","368215"
"2019-06-10","1560124800","609561"
"2019-06-11","1560211200","513576"
"2019-06-12","1560297600","369428"
"2019-06-13","1560384000","361793"
"2019-06-14","1560470400","454653"
