"DateTime","Number of Transactions","Price"
"2017-05-08 00:00:00",108728.57,86.56
"2017-05-15 00:00:00",135278.57,104.16
"2017-05-22 00:00:00",170948.29,168.13
"2017-05-29 00:00:00",183940.71,216.83
"2017-06-05 00:00:00",205291.14,275.86
"2017-06-12 00:00:00",255371.71,351.52
"2017-06-19 00:00:00",250030.29,312.53
"2017-06-26 00:00:00",258178,275.17
"2017-07-03 00:00:00",264148.43,259.89
"2017-07-10 00:00:00",259127.14,193.58
"2017-07-17 00:00:00",244343.57,213.77
"2017-07-24 00:00:00",225374.14,204.58
"2017-07-31 00:00:00",241999.29,226.15
"2017-08-07 00:00:00",314386.86,294.11
"2017-08-14 00:00:00",384284.43,294.86
"2017-08-21 00:00:00",342145,324.93
"2017-08-28 00:00:00",355792.71,367.62
"2017-09-04 00:00:00",417228.29,312.31
"2017-09-11 00:00:00",365219,267.55
"2017-09-18 00:00:00",298076.86,277.7
"2017-09-25 00:00:00",297379.86,296.65
"2017-10-02 00:00:00",296235.86,299.7
"2017-10-09 00:00:00",333756.71,313.92
"2017-10-16 00:00:00",398467,311.44
"2017-10-23 00:00:00",388856.57,294.64
"2017-10-30 00:00:00",451756.29,298.46
"2017-11-06 00:00:00",434427,305.66
"2017-11-13 00:00:00",466956,332.44
"2017-11-20 00:00:00",519560.29,409.66
"2017-11-27 00:00:00",619716,457.44
"2017-12-04 00:00:00",672055.43,448.22
"2017-12-11 00:00:00",859894.86,644.9
"2017-12-18 00:00:00",969073.43,731.5
"2017-12-25 00:00:00",929742.71,720.52
"2018-01-01 00:00:00",1166848,919.17
"2018-01-08 00:00:00",1146638.29,1241.16
"2018-01-15 00:00:00",1108000,1082.08
"2018-01-22 00:00:00",878586.43,1045.36
"2018-01-29 00:00:00",877115,1015.95
"2018-02-05 00:00:00",795759.29,788.95
"2018-02-12 00:00:00",739987.29,903.27
"2018-02-19 00:00:00",753528.57,865.15
"2018-02-26 00:00:00",680145.86,863.46
"2018-03-05 00:00:00",668829.86,755.96
"2018-03-12 00:00:00",646262.43,619.47
"2018-03-19 00:00:00",626301,539.58
"2018-03-26 00:00:00",577553.43,429.46
"2018-04-02 00:00:00",608911.86,387.51
"2018-04-09 00:00:00",620224,459.74
"2018-04-16 00:00:00",734713.86,556.93
"2018-04-23 00:00:00",769678.86,657.93
"2018-04-30 00:00:00",782854.29,731.85
"2018-05-07 00:00:00",781191.71,720.13
"2018-05-14 00:00:00",777251.71,699.35
"2018-05-21 00:00:00",768493.14,616.18
"2018-05-28 00:00:00",782970.29,569.38
"2018-06-04 00:00:00",737263,593.67
"2018-06-11 00:00:00",709887.71,500.07
"2018-06-18 00:00:00",711609.29,500.8
"2018-06-25 00:00:00",708247.29,441.59
"2018-07-02 00:00:00",504651.71,471.36
"2018-07-09 00:00:00",570312.86,443.95
"2018-07-16 00:00:00",672457.14,469.98
"2018-07-23 00:00:00",730611.57,466.88
"2018-07-30 00:00:00",721468.14,423.39
"2018-08-06 00:00:00",594253.57,358.17
"2018-08-13 00:00:00",630431,292.85
"2018-08-20 00:00:00",586106.43,278.3
"2018-08-27 00:00:00",593407.86,287.08
"2018-09-03 00:00:00",574611.57,240.09
"2018-09-10 00:00:00",515504.71,200.67
"2018-09-17 00:00:00",494993,223.09
"2018-09-24 00:00:00",475033,224.32
"2018-10-01 00:00:00",523009.57,224.99
"2018-10-08 00:00:00",521913.29,210.98
"2018-10-15 00:00:00",546193.43,207.22
"2018-10-22 00:00:00",523185,203.19
"2018-10-29 00:00:00",551370,199.7
"2018-11-05 00:00:00",539497.71,213
"2018-11-12 00:00:00",531316.43,187.83
"2018-11-19 00:00:00",556165.43,130.72
"2018-11-26 00:00:00",546218.43,115.18
"2018-12-03 00:00:00",550517.86,99.99
"2018-12-10 00:00:00",534383.57,87.78
"2018-12-17 00:00:00",555470.71,108.21
"2018-12-24 00:00:00",535943.14,134.85
"2018-12-31 00:00:00",519269.14,149.37
"2019-01-07 00:00:00",522705.86,138.96
"2019-01-14 00:00:00",525659.43,123.07
"2019-01-21 00:00:00",514699.71,116.63
"2019-01-28 00:00:00",500536.57,107.53
"2019-02-04 00:00:00",411537.71,111.11
"2019-02-11 00:00:00",444798.43,123.76
"2019-02-18 00:00:00",510966.86,147.8
